borough,bedroom_category,rent_count,rent_mean_gbp,rent_lower_quartile_gbp,rent_median_gbp,rent_upper_quartile_gbp,code,jobs_thousand,median_weekly_pay_gross_gbp,annual_pct_change_median,mean_weekly_pay_gross_gbp,annual_pct_change_mean,p10_gbp,p20_gbp,p25_gbp,p30_gbp,p40_gbp,p60_gbp,p70_gbp,p75_gbp,p80_gbp,p90_gbp
Harrow,Two Bedrooms,580,1689,1550,1650,1800,E09000015,78,880,3.2,1127.2,15.4,518.2,613.3,645.2,683.6,759.5,1040.1,1252.8,1355.6,1436.5,x
Harrow,Three Bedrooms,360,2160,1900,2125,2300,E09000015,78,880,3.2,1127.2,15.4,518.2,613.3,645.2,683.6,759.5,1040.1,1252.8,1355.6,1436.5,x
Harrow,Four or More Bedrooms,140,2884,2500,2725,3034,E09000015,78,880,3.2,1127.2,15.4,518.2,613.3,645.2,683.6,759.5,1040.1,1252.8,1355.6,1436.5,x
Havering,Room,10,803,..,801,..,E09000016,78,895.8,8.7,1007.7,4.8,524.8,633.8,670.6,711.6,802.7,1001.3,1116.6,1190.4,1286,x
Havering,Studio,10,928,..,900,..,E09000016,78,895.8,8.7,1007.7,4.8,524.8,633.8,670.6,711.6,802.7,1001.3,1116.6,1190.4,1286,x
Havering,One Bedroom,250,1228,1100,1250,1350,E09000016,78,895.8,8.7,1007.7,4.8,524.8,633.8,670.6,711.6,802.7,1001.3,1116.6,1190.4,1286,x
Havering,Two Bedrooms,360,1513,1350,1500,1650,E09000016,78,895.8,8.7,1007.7,4.8,524.8,633.8,670.6,711.6,802.7,1001.3,1116.6,1190.4,1286,x
Havering,Three Bedrooms,250,1798,1600,1800,2000,E09000016,78,895.8,8.7,1007.7,4.8,524.8,633.8,670.6,711.6,802.7,1001.3,1116.6,1190.4,1286,x
Havering,Four or More Bedrooms,60,2255,1955,2300,2500,E09000016,78,895.8,8.7,1007.7,4.8,524.8,633.8,670.6,711.6,802.7,1001.3,1116.6,1190.4,1286,x
Hillingdon,Room,80,657,559,676,726,E09000017,94,806.8,0.3,981.3,3.9,517.5,594.3,624.8,651.1,726.3,922.6,1063.5,1186.9,1298.4,1629
Hillingdon,Studio,90,1035,915,1000,1125,E09000017,94,806.8,0.3,981.3,3.9,517.5,594.3,624.8,651.1,726.3,922.6,1063.5,1186.9,1298.4,1629
Hillingdon,One Bedroom,530,1283,1159,1300,1397,E09000017,94,806.8,0.3,981.3,3.9,517.5,594.3,624.8,651.1,726.3,922.6,1063.5,1186.9,1298.4,1629
Hillingdon,Two Bedrooms,830,1597,1450,1600,1732,E09000017,94,806.8,0.3,981.3,3.9,517.5,594.3,624.8,651.1,726.3,922.6,1063.5,1186.9,1298.4,1629
Hillingdon,Three Bedrooms,430,1908,1656,1900,2100,E09000017,94,806.8,0.3,981.3,3.9,517.5,594.3,624.8,651.1,726.3,922.6,1063.5,1186.9,1298.4,1629
Hillingdon,Four or More Bedrooms,150,2704,2150,2550,2913,E09000017,94,806.8,0.3,981.3,3.9,517.5,594.3,624.8,651.1,726.3,922.6,1063.5,1186.9,1298.4,1629
Hounslow,Room,100,735,626,701,801,E09000018,84,807.5,5.3,1012.4,6.9,533.8,605.4,634.2,670.8,733.7,891.9,1053.1,1154.5,1254.2,x
Hounslow,Studio,30,1109,975,1125,1200,E09000018,84,807.5,5.3,1012.4,6.9,533.8,605.4,634.2,670.8,733.7,891.9,1053.1,1154.5,1254.2,x
Hounslow,One Bedroom,360,1521,1350,1500,1700,E09000018,84,807.5,5.3,1012.4,6.9,533.8,605.4,634.2,670.8,733.7,891.9,1053.1,1154.5,1254.2,x
Hounslow,Two Bedrooms,500,1873,1650,1800,2021,E09000018,84,807.5,5.3,1012.4,6.9,533.8,605.4,634.2,670.8,733.7,891.9,1053.1,1154.5,1254.2,x
Hounslow,Three Bedrooms,190,2423,1973,2200,2788,E09000018,84,807.5,5.3,1012.4,6.9,533.8,605.4,634.2,670.8,733.7,891.9,1053.1,1154.5,1254.2,x
Hounslow,Four or More Bedrooms,90,3503,2600,3125,4000,E09000018,84,807.5,5.3,1012.4,6.9,533.8,605.4,634.2,670.8,733.7,891.9,1053.1,1154.5,1254.2,x
Islington,Room,40,855,787,862,917,E09000019,75,1005,7.6,1591.5,34.6,580.6,698.7,736.7,769.6,895.4,1159.2,1329.8,1494.7,1644.3,x
Islington,Studio,30,1446,1298,1400,1525,E09000019,75,1005,7.6,1591.5,34.6,580.6,698.7,736.7,769.6,895.4,1159.2,1329.8,1494.7,1644.3,x
Islington,One Bedroom,490,2060,1799,2000,2250,E09000019,75,1005,7.6,1591.5,34.6,580.6,698.7,736.7,769.6,895.4,1159.2,1329.8,1494.7,1644.3,x
Islington,Two Bedrooms,510,2641,2200,2550,3000,E09000019,75,1005,7.6,1591.5,34.6,580.6,698.7,736.7,769.6,895.4,1159.2,1329.8,1494.7,1644.3,x
Islington,Three Bedrooms,150,3411,2750,3300,3800,E09000019,75,1005,7.6,1591.5,34.6,580.6,698.7,736.7,769.6,895.4,1159.2,1329.8,1494.7,1644.3,x
Islington,Four or More Bedrooms,80,4645,3775,4500,5000,E09000019,75,1005,7.6,1591.5,34.6,580.6,698.7,736.7,769.6,895.4,1159.2,1329.8,1494.7,1644.3,x
Kensington and Chelsea,Room,10,1002,..,899,..,E09000020,39,1022.6,3.3,1733.3,9.4,576.7,679.6,728.3,764.3,888.5,1199.9,x,x,x,x
Kensington and Chelsea,Studio,220,1702,1517,1647,1846,E09000020,39,1022.6,3.3,1733.3,9.4,576.7,679.6,728.3,764.3,888.5,1199.9,x,x,x,x
Kensington and Chelsea,One Bedroom,590,2605,2065,2394,2925,E09000020,39,1022.6,3.3,1733.3,9.4,576.7,679.6,728.3,764.3,888.5,1199.9,x,x,x,x
Kensington and Chelsea,Two Bedrooms,790,3622,2825,3350,4099,E09000020,39,1022.6,3.3,1733.3,9.4,576.7,679.6,728.3,764.3,888.5,1199.9,x,x,x,x
Kensington and Chelsea,Three Bedrooms,260,5814,4220,5709,6933,E09000020,39,1022.6,3.3,1733.3,9.4,576.7,679.6,728.3,764.3,888.5,1199.9,x,x,x,x
Kensington and Chelsea,Four or More Bedrooms,100,8589,6662,8017,10550,E09000020,39,1022.6,3.3,1733.3,9.4,576.7,679.6,728.3,764.3,888.5,1199.9,x,x,x,x
Kingston upon Thames,Room,20,807,634,757,1026,E09000021,52,953.2,12.9,1173.9,10.1,525.2,630.8,680.4,734.4,845.2,1069.3,1265.5,1375.3,1442.8,x
Kingston upon Thames,Studio,10,1163,1050,1125,1300,E09000021,52,953.2,12.9,1173.9,10.1,525.2,630.8,680.4,734.4,845.2,1069.3,1265.5,1375.3,1442.8,x
Kingston upon Thames,One Bedroom,240,1411,1275,1400,1500,E09000021,52,953.2,12.9,1173.9,10.1,525.2,630.8,680.4,734.4,845.2,1069.3,1265.5,1375.3,1442.8,x
Kingston upon Thames,Two Bedrooms,370,1730,1500,1700,1900,E09000021,52,953.2,12.9,1173.9,10.1,525.2,630.8,680.4,734.4,845.2,1069.3,1265.5,1375.3,1442.8,x
Kingston upon Thames,Three Bedrooms,180,2360,1995,2250,2650,E09000021,52,953.2,12.9,1173.9,10.1,525.2,630.8,680.4,734.4,845.2,1069.3,1265.5,1375.3,1442.8,x
Kingston upon Thames,Four or More Bedrooms,80,3284,2500,2850,3300,E09000021,52,953.2,12.9,1173.9,10.1,525.2,630.8,680.4,734.4,845.2,1069.3,1265.5,1375.3,1442.8,x
Lambeth,Room,20,867,787,873,900,E09000022,120,946.6,5.5,1154.8,7.5,576.6,661.2,689.9,731.7,842,1039.1,1237.7,1309.6,1419.4,x
Lambeth,Studio,50,1383,1073,1270,1520,E09000022,120,946.6,5.5,1154.8,7.5,576.6,661.2,689.9,731.7,842,1039.1,1237.7,1309.6,1419.4,x
Lambeth,One Bedroom,510,1791,1500,1700,2000,E09000022,120,946.6,5.5,1154.8,7.5,576.6,661.2,689.9,731.7,842,1039.1,1237.7,1309.6,1419.4,x
Lambeth,Two Bedrooms,770,2227,1825,2150,2500,E09000022,120,946.6,5.5,1154.8,7.5,576.6,661.2,689.9,731.7,842,1039.1,1237.7,1309.6,1419.4,x
Lambeth,Three Bedrooms,300,2836,2300,2730,3200,E09000022,120,946.6,5.5,1154.8,7.5,576.6,661.2,689.9,731.7,842,1039.1,1237.7,1309.6,1419.4,x
Lambeth,Four or More Bedrooms,140,4003,3100,3650,4500,E09000022,120,946.6,5.5,1154.8,7.5,576.6,661.2,689.9,731.7,842,1039.1,1237.7,1309.6,1419.4,x
Lewisham,Room,230,994,721,782,875,E09000023,104,891.8,6.3,1075.6,1.4,569,628.1,668.5,691.2,790,1021.4,1226.6,1290,1411,x
Lewisham,Studio,140,1163,1050,1150,1290,E09000023,104,891.8,6.3,1075.6,1.4,569,628.1,668.5,691.2,790,1021.4,1226.6,1290,1411,x
Lewisham,One Bedroom,890,1434,1250,1400,1600,E09000023,104,891.8,6.3,1075.6,1.4,569,628.1,668.5,691.2,790,1021.4,1226.6,1290,1411,x
Lewisham,Two Bedrooms,1210,1742,1500,1700,1900,E09000023,104,891.8,6.3,1075.6,1.4,569,628.1,668.5,691.2,790,1021.4,1226.6,1290,1411,x
Lewisham,Three Bedrooms,500,2163,1800,2083,2500,E09000023,104,891.8,6.3,1075.6,1.4,569,628.1,668.5,691.2,790,1021.4,1226.6,1290,1411,x
Lewisham,Four or More Bedrooms,190,2972,2400,2900,3400,E09000023,104,891.8,6.3,1075.6,1.4,569,628.1,668.5,691.2,790,1021.4,1226.6,1290,1411,x
Merton,Room,40,829,761,801,921,E09000024,74,994.3,12.8,1232,10.6,563.8,651.7,691.9,745.7,853.3,1111,1263.2,1437.4,1653.7,x
Merton,Studio,10,1302,1200,1350,1400,E09000024,74,994.3,12.8,1232,10.6,563.8,651.7,691.9,745.7,853.3,1111,1263.2,1437.4,1653.7,x
Merton,One Bedroom,240,1544,1350,1523,1700,E09000024,74,994.3,12.8,1232,10.6,563.8,651.7,691.9,745.7,853.3,1111,1263.2,1437.4,1653.7,x
Merton,Two Bedrooms,580,1817,1450,1750,2075,E09000024,74,994.3,12.8,1232,10.6,563.8,651.7,691.9,745.7,853.3,1111,1263.2,1437.4,1653.7,x
Merton,Three Bedrooms,260,2599,2138,2500,3000,E09000024,74,994.3,12.8,1232,10.6,563.8,651.7,691.9,745.7,853.3,1111,1263.2,1437.4,1653.7,x
Merton,Four or More Bedrooms,100,3753,2738,3350,4388,E09000024,74,994.3,12.8,1232,10.6,563.8,651.7,691.9,745.7,853.3,1111,1263.2,1437.4,1653.7,x
Newham,Room,110,733,620,726,852,E09000025,106,822.2,8.4,1014.9,11.1,524.6,596.4,626.9,663.1,732.8,946.4,1054.2,1178.3,1305.9,x
Newham,Studio,50,1302,1125,1400,1450,E09000025,106,822.2,8.4,1014.9,11.1,524.6,596.4,626.9,663.1,732.8,946.4,1054.2,1178.3,1305.9,x
Newham,One Bedroom,400,1494,1335,1500,1650,E09000025,106,822.2,8.4,1014.9,11.1,524.6,596.4,626.9,663.1,732.8,946.4,1054.2,1178.3,1305.9,x
